# Genome version: Mus musculus (mm10)
#Peak_mid_point	subclass(label1#label2)
chr11:100991346	active;shared
chr11:101696631	active;shared
chr11:101801731	active;shared
chr11:102229185	active;shared
chr11:102963907	active;shared
chr11:103689251	active;shared
chr11:105153587	active;shared
chr11:105508773	active;shared
chr11:105541923	active;shared
chr11:107298967	active;shared
chr11:107419997	active;shared
chr11:107608232	active;shared
chr11:108279993	active;shared
chr11:108961702	active;shared
chr11:111020351	active;shared
chr11:111894165	active;shared
chr11:112542749	active;shared
chr11:112977078	active;shared
chr11:113046354	active;shared
chr11:113308642	active;shared
chr11:113396427	active;shared
chr11:113828151	active;shared
chr11:114729381	active;shared
chr11:115105249	active;shared
chr11:116814612	active;shared
chr11:116905400	active;shared
chr11:117003687	active;shared
chr11:117035768	active;shared
chr11:117060238	active;shared
chr11:117522363	active;shared
chr11:118249200	active;shared
chr11:118722902	active;shared
chr11:11881890	active;shared
chr11:121154320	active;shared
chr1:116366990	active;shared
chr11:16627594	active;shared
chr1:117087369	active;shared
chr11:17164175	active;shared
chr11:18014959	active;shared
chr11:18371553	active;shared
chr1:118672343	active;shared
chr11:20038126	active;shared
chr1:120078196	active;shared
chr11:20206836	active;shared
chr1:120401505	active;shared
chr11:20603719	active;shared
chr1:120667788	active;shared
chr11:21041413	active;shared
chr1:121177298	active;shared
chr11:21348955	active;shared
chr11:21391530	active;shared
chr11:22001584	active;shared
chr11:24370670	active;shared
chr11:25435810	active;shared
chr1:125854869	active;shared
chr11:25857406	active;shared
chr11:26104164	active;shared
chr11:26753815	active;shared
chr11:26806922	active;shared
chr1:12710828	active;shared
chr1:127531458	active;shared
chr1:127787130	active;shared
chr11:29242311	active;shared
chr1:13074912	active;shared
chr11:30750216	active;shared
chr1:132282077	active;shared
chr1:132530882	active;shared
chr1:132558072	active;shared
chr1:132559197	active;shared
chr1:132559442	active;shared
chr11:32667842	active;shared
chr1:132800666	active;shared
chr1:132820334	active;shared
chr1:132876774	active;shared
chr1:132921198	active;shared
chr1:133087730	active;shared
chr11:33662373	active;shared
chr1:133907138	active;shared
chr1:134211842	active;shared
chr1:134567727	active;shared
chr11:35351508	active;shared
chr11:35454597	active;shared
chr11:35498285	active;shared
chr1:135513335	active;shared
chr11:35543983	active;shared
chr11:35544415	active;shared
chr1:135561544	active;shared
chr11:35663838	active;shared
chr11:35874013	active;shared
chr11:36009614	active;shared
chr1:136229163	active;shared
chr11:37435166	active;shared
chr11:3823245	active;shared
chr1:138604197	active;shared
chr1:138844330	active;shared
chr11:4196572	active;shared
chr11:41968750	active;shared
chr11:42423138	active;shared
chr1:14304533	active;shared
chr1:14304838	active;shared
chr11:43540097	active;shared
chr11:44539719	active;shared
chr11:44654819	active;shared
chr11:44683321	active;shared
chr11:44707681	active;shared
chr11:44746950	active;shared
chr1:145065359	active;shared
chr11:46210068	active;shared
chr1:147223548	active;shared
chr11:49918921	active;shared
chr11:49927301	active;shared
chr11:50713972	active;shared
chr11:50714267	active;shared
chr1:151103836	active;shared
chr1:151178708	active;shared
chr11:52431835	active;shared
chr11:5255909	active;shared
chr1:153054499	active;shared
chr11:5314576	active;shared
chr11:53211087	active;shared
chr11:53493687	active;shared
chr1:153677870	active;shared
chr11:54092572	active;shared
chr1:154292894	active;shared
chr1:155000891	active;shared
chr11:55601953	active;shared
chr1:155751845	active;shared
chr11:55960074	active;shared
chr1:156111874	active;shared
chr1:156782237	active;shared
chr1:156964574	active;shared
chr1:156978527	active;shared
chr1:157036763	active;shared
chr1:158083091	active;shared
chr1:158295035	active;shared
chr1:158489666	active;shared
chr11:59238555	active;shared
chr11:59239227	active;shared
chr1:159865763	active;shared
chr1:159865900	active;shared
chr11:60177240	active;shared
chr1:160312804	active;shared
chr11:60537566	active;shared
chr1:161443458	active;shared
chr11:6184385	active;shared
chr11:62494897	active;shared
chr11:62629547	active;shared
chr1:162832442	active;shared
chr11:63180770	active;shared
chr11:63267923	active;shared
chr11:63901782	active;shared
chr11:6416782	active;shared
chr1:165634933	active;shared
chr11:66574153	active;shared
chr1:167240609	active;shared
chr1:167600075	active;shared
chr1:167628170	active;shared
chr11:68145716	active;shared
chr1:168358248	active;shared
chr11:6895264	active;shared
chr11:68970572	active;shared
chr11:69970307	active;shared
chr11:70068439	active;shared
chr1:170605735	active;shared
chr1:171479112	active;shared
chr11:71758442	active;shared
chr11:71764094	active;shared
chr1:171946622	active;shared
chr11:72103742	active;shared
chr11:7235242	active;shared
chr11:72564714	active;shared
chr1:172657701	active;shared
chr11:73077406	active;shared
chr11:75245527	active;shared
chr1:175385723	active;shared
chr1:176014047	active;shared
chr11:76328243	active;shared
chr11:76606799	active;shared
chr11:77671991	active;shared
chr11:77830971	active;shared
chr11:77844013	active;shared
chr11:77965548	active;shared
chr11:77965974	active;shared
chr11:78807882	active;shared
chr11:78814893	active;shared
chr11:79030772	active;shared
chr1:179198523	active;shared
chr1:179248938	active;shared
chr1:179617730	active;shared
chr11:80335860	active;shared
chr11:80578383	active;shared
chr11:8069009	active;shared
chr1:181010961	active;shared
chr11:81280255	active;shared
chr11:81518393	active;shared
chr11:81897703	active;shared
chr1:182114061	active;shared
chr11:82406548	active;shared
chr11:82418782	active;shared
chr1:182574374	active;shared
chr11:82603386	active;shared
chr11:82678618	active;shared
chr1:183252765	active;shared
chr11:83925490	active;shared
chr11:84797154	active;shared
chr11:85364054	active;shared
chr1:185731243	active;shared
chr1:186926553	active;shared
chr11:8723218	active;shared
chr1:187918433	active;shared
chr11:88119004	active;shared
chr11:88240798	active;shared
chr11:88486117	active;shared
chr11:88581891	active;shared
chr11:88617389	active;shared
chr11:88623408	active;shared
chr11:88803584	active;shared
chr1:189246126	active;shared
chr1:189933190	active;shared
chr11:90109939	active;shared
chr1:190344758	active;shared
chr11:90370717	active;shared
chr1:192522930	active;shared
chr1:192814901	active;shared
chr1:192823324	active;shared
chr1:193389730	active;shared
chr11:94679582	active;shared
chr1:194732293	active;shared
chr11:95264310	active;shared
chr11:95504655	active;shared
chr11:96168422	active;shared
chr11:96254679	active;shared
chr11:96256176	active;shared
chr11:96310018	active;shared
chr11:96596239	active;shared
chr11:96696466	active;shared
chr11:96764812	active;shared
chr11:96886008	active;shared
chr11:97311281	active;shared
chr11:97826986	active;shared
chr11:98339242	active;shared
chr11:98488707	active;shared
chr11:98498074	active;shared
chr11:99103579	active;shared
chr1:20303141	active;shared
chr1:20477812	active;shared
chr12:100127882	active;shared
chr12:100133244	active;shared
chr12:100168628	active;shared
chr12:100226528	active;shared
chr12:100337801	active;shared
chr12:100831973	active;shared
chr12:100953088	active;shared
chr12:100990516	active;shared
chr12:101027516	active;shared
chr12:10198017	active;shared
chr12:102511520	active;shared
chr12:103169763	active;shared
chr12:104467093	active;shared
chr12:104683136	active;shared
chr12:105085128	active;shared
chr12:105531937	active;shared
chr12:106227120	active;shared
chr12:107947729	active;shared
chr12:108386945	active;shared
chr12:108410577	active;shared
chr12:108959637	active;shared
chr12:108982678	active;shared
chr12:109546035	active;shared
chr12:109547537	active;shared
chr12:109766758	active;shared
chr12:110706548	active;shared
chr12:11083234	active;shared
chr12:111038816	active;shared
chr12:112330144	active;shared
chr12:112333569	active;shared
chr12:113424083	active;shared
chr12:116641916	active;shared
chr12:116938168	active;shared
chr12:117053997	active;shared
chr12:117160536	active;shared
chr12:117989505	active;shared
chr12:118099895	active;shared
chr12:118187306	active;shared
chr12:118661175	active;shared
chr1:21284669	active;shared
chr12:12907026	active;shared
chr12:13066721	active;shared
chr12:16911448	active;shared
chr12:17709539	active;shared
chr12:21426677	active;shared
chr12:21442545	active;shared
chr12:21463597	active;shared
chr12:25871349	active;shared
chr12:26533393	active;shared
chr12:26877925	active;shared
chr12:27116369	active;shared
chr12:27293336	active;shared
chr12:27501145	active;shared
chr12:29530471	active;shared
chr12:33182944	active;shared
chr12:33313936	active;shared
chr12:3546263	active;shared
chr12:37774233	active;shared
chr12:41556033	active;shared
chr12:44281830	active;shared
chr12:45042619	active;shared
chr12:45833615	active;shared
chr12:46635500	active;shared
chr12:46721954	active;shared
chr12:4845078	active;shared
chr12:51348528	active;shared
chr1:25180960	active;shared
chr12:52671534	active;shared
chr12:5295954	active;shared
chr12:53034331	active;shared
chr12:53448173	active;shared
chr12:53720027	active;shared
chr12:5373433	active;shared
chr12:53738816	active;shared
chr12:54034728	active;shared
chr12:54053116	active;shared
chr12:54981660	active;shared
chr12:55518259	active;shared
chr12:56458977	active;shared
chr12:56895120	active;shared
chr12:58585075	active;shared
chr12:61472168	active;shared
chr12:70070566	active;shared
chr12:70192444	active;shared
chr12:70851916	active;shared
chr12:71252752	active;shared
chr12:71373363	active;shared
chr12:71429882	active;shared
chr12:71864621	active;shared
chr12:72087619	active;shared
chr12:72288528	active;shared
chr12:72304471	active;shared
chr12:72855539	active;shared
chr12:73147190	active;shared
chr12:73608229	active;shared
chr12:73945519	active;shared
chr12:73997216	active;shared
chr12:76273136	active;shared
chr12:77913376	active;shared
chr12:79016598	active;shared
chr12:79742421	active;shared
chr12:79814263	active;shared
chr12:79846982	active;shared
chr12:79971801	active;shared
chr12:79984162	active;shared
chr12:80218896	active;shared
chr12:80798523	active;shared
chr12:80807726	active;shared
chr12:80816870	active;shared
chr12:80841841	active;shared
chr12:81686630	active;shared
chr12:82123039	active;shared
chr12:82312382	active;shared
chr12:83303016	active;shared
chr12:83514403	active;shared
chr12:84487858	active;shared
chr12:84532468	active;shared
chr12:84590477	active;shared
chr12:85456873	active;shared
chr12:86484168	active;shared
chr12:86642053	active;shared
chr12:86647513	active;shared
chr12:86802410	active;shared
chr12:86876456	active;shared
chr12:86975002	active;shared
chr12:8885161	active;shared
chr12:89049532	active;shared
chr12:89242425	active;shared
chr12:89282705	active;shared
chr12:89765091	active;shared
chr12:90132587	active;shared
chr12:91504026	active;shared
chr12:91583080	active;shared
chr12:93088273	active;shared
chr12:99148796	active;shared
chr12:99273853	active;shared
chr12:99361335	active;shared
chr12:99441152	active;shared
chr12:99493213	active;shared
chr12:99498419	active;shared
chr13:103304847	active;shared
chr13:104937359	active;shared
chr13:107247591	active;shared
chr13:107620430	active;shared
chr13:111481160	active;shared
chr13:111494885	active;shared
chr13:112376012	active;shared
chr13:112399446	active;shared
chr13:113343921	active;shared
chr13:113582821	active;shared
chr13:113775434	active;shared
chr13:113775625	active;shared
chr13:114110057	active;shared
chr13:114400461	active;shared
chr13:11903431	active;shared
chr13:14801040	active;shared
chr13:15556622	active;shared
chr13:15677307	active;shared
chr13:17457414	active;shared
chr13:17697943	active;shared
chr13:19819913	active;shared
chr13:20451013	active;shared
chr13:24758518	active;shared
chr13:25150727	active;shared
chr13:26155217	active;shared
chr13:28400725	active;shared
chr13:29371113	active;shared
chr13:29769849	active;shared
chr13:29922908	active;shared
chr1:3340782	active;shared
chr13:34814785	active;shared
chr13:36283300	active;shared
chr13:39524127	active;shared
chr13:39907768	active;shared
chr13:42103095	active;shared
chr13:43481706	active;shared
chr13:43489336	active;shared
chr13:43807388	active;shared
chr13:44038617	active;shared
chr13:44056161	active;shared
chr13:44229276	active;shared
chr13:44623166	active;shared
chr13:44751898	active;shared
chr13:44842586	active;shared
chr13:44851700	active;shared
chr13:45515250	active;shared
chr13:46535388	active;shared
chr1:34749690	active;shared
chr13:47849618	active;shared
chr13:48168027	active;shared
chr13:48735213	active;shared
chr13:48784356	active;shared
chr13:50971570	active;shared
chr13:51806396	active;shared
chr13:51830999	active;shared
chr13:52569606	active;shared
chr13:52765938	active;shared
chr13:53155261	active;shared
chr13:53188547	active;shared
chr13:53268582	active;shared
chr13:53757392	active;shared
chr13:54255828	active;shared
chr13:55831960	active;shared
chr13:55840448	active;shared
chr13:56554546	active;shared
chr13:56563349	active;shared
chr1:35750375	active;shared
chr13:57878774	active;shared
chr13:60122813	active;shared
chr13:60126010	active;shared
chr13:60171187	active;shared
chr13:6060194	active;shared
chr1:36302789	active;shared
chr13:63272572	active;shared
chr13:63497059	active;shared
chr13:64258325	active;shared
chr1:36577850	active;shared
chr13:71085149	active;shared
chr13:71105497	active;shared
chr13:71459351	active;shared
chr13:72816336	active;shared
chr13:73117502	active;shared
chr13:73264370	active;shared
chr13:73306453	active;shared
chr13:73477493	active;shared
chr1:37544401	active;shared
chr13:78427941	active;shared
chr1:37951346	active;shared
chr1:38108889	active;shared
chr1:38156864	active;shared
chr1:39007534	active;shared
chr13:94564385	active;shared
chr13:94595769	active;shared
chr13:94647810	active;shared
chr13:94803655	active;shared
chr13:94857629	active;shared
chr13:94857898	active;shared
chr13:94913077	active;shared
chr13:95959804	active;shared
chr13:97238091	active;shared
chr13:97365864	active;shared
chr13:97432252	active;shared
chr13:97552284	active;shared
chr13:97824496	active;shared
chr13:97829819	active;shared
chr13:97892703	active;shared
chr13:98201287	active;shared
chr1:39870017	active;shared
chr13:99119280	active;shared
chr13:99444718	active;shared
chr1:40117876	active;shared
chr1:40632658	active;shared
chr14:100459210	active;shared
chr14:101517463	active;shared
chr14:103718633	active;shared
chr14:105071220	active;shared
chr14:105483417	active;shared
chr14:105502122	active;shared
chr14:11667784	active;shared
chr14:117337416	active;shared
chr14:117501022	active;shared
chr14:118212560	active;shared
chr14:118804132	active;shared
chr14:121044193	active;shared
chr14:122291923	active;shared
chr14:122374604	active;shared
chr14:122450774	active;shared
chr14:122583051	active;shared
chr14:122872115	active;shared
chr14:12341444	active;shared
chr14:123513625	active;shared
chr14:123866205	active;shared
chr14:12393694	active;shared
chr14:124037088	active;shared
chr14:13488626	active;shared
chr14:19836547	active;shared
chr14:21599894	active;shared
chr14:23835819	active;shared
chr14:24770199	active;shared
chr1:42540373	active;shared
chr14:25640315	active;shared
chr14:25767696	active;shared
chr14:27006128	active;shared
chr14:27062707	active;shared
chr14:27076066	active;shared
chr14:31564819	active;shared
chr14:31669808	active;shared
chr14:31934585	active;shared
chr14:32165887	active;shared
chr14:32468845	active;shared
chr1:43338351	active;shared
chr1:43448065	active;shared
chr14:34880054	active;shared
chr1:43568917	active;shared
chr14:40709275	active;shared
chr14:40769340	active;shared
chr14:45325687	active;shared
chr14:45325920	active;shared
chr14:45456553	active;shared
chr14:45715902	active;shared
chr14:46662072	active;shared
chr14:47785427	active;shared
chr14:48370480	active;shared
chr14:48580567	active;shared
chr14:48668884	active;shared
chr14:51041976	active;shared
chr14:54637061	active;shared
chr14:55085487	active;shared
chr14:55163556	active;shared
chr14:55823625	active;shared
chr14:55824076	active;shared
chr14:55962918	active;shared
chr14:56910463	active;shared
chr14:58656723	active;shared
chr14:58657819	active;shared
chr14:58663693	active;shared
chr14:59534096	active;shared
chr14:59737242	active;shared
chr14:60539322	active;shared
chr14:60987040	active;shared
chr14:61043947	active;shared
chr14:61137597	active;shared
chr14:62638284	active;shared
chr14:63719098	active;shared
chr14:65388325	active;shared
chr14:66223931	active;shared
chr14:66325236	active;shared
chr14:66438451	active;shared
chr14:66823825	active;shared
chr14:66824219	active;shared
chr14:67344580	active;shared
chr14:67718563	active;shared
chr14:68196833	active;shared
chr14:68452700	active;shared
chr14:72389995	active;shared
chr14:73231898	active;shared
chr14:75871265	active;shared
chr14:76119161	active;shared
chr14:76791962	active;shared
chr14:76883101	active;shared
chr14:78590621	active;shared
chr14:78878929	active;shared
chr14:8106252	active;shared
chr14:86239225	active;shared
chr14:89061554	active;shared
chr14:98933611	active;shared
chr1:50652458	active;shared
chr15:100041313	active;shared
chr15:100102137	active;shared
chr15:100318455	active;shared
chr15:102388710	active;shared
chr15:102753156	active;shared
chr15:103167404	active;shared
chr15:103215749	active;shared
chr15:103229590	active;shared
chr15:103277999	active;shared
chr15:103337137	active;shared
chr15:11380350	active;shared
chr15:12066893	active;shared
chr15:12314095	active;shared
chr15:13174675	active;shared
chr15:13969955	active;shared
chr1:5232943	active;shared
chr15:25359007	active;shared
chr15:25498634	active;shared
chr15:25630956	active;shared
chr15:25956739	active;shared
chr1:52657463	active;shared
chr15:27595982	active;shared
chr15:27923686	active;shared
chr15:28022014	active;shared
chr15:35914257	active;shared
chr15:37300305	active;shared
chr15:37627974	active;shared
chr15:38077729	active;shared
chr15:38932700	active;shared
chr1:53941724	active;shared
chr15:39758125	active;shared
chr1:53983656	active;shared
chr15:40014932	active;shared
chr15:42677039	active;shared
chr15:5189416	active;shared
chr15:53291685	active;shared
chr15:53341931	active;shared
chr15:56027549	active;shared
chr15:56694772	active;shared
chr15:58213361	active;shared
chr15:58734664	active;shared
chr15:58913910	active;shared
chr15:58950915	active;shared
chr15:59040625	active;shared
chr15:59089064	active;shared
chr15:59568047	active;shared
chr15:63052672	active;shared
chr15:63194388	active;shared
chr15:63310650	active;shared
chr15:64027102	active;shared
chr15:64178282	active;shared
chr15:66975456	active;shared
chr15:7070898	active;shared
chr15:7244278	active;shared
chr15:73099452	active;shared
chr15:73933308	active;shared
chr1:57485272	active;shared
chr15:75756418	active;shared
chr15:75835585	active;shared
chr15:75970422	active;shared
chr15:77212413	active;shared
chr15:77215320	active;shared
chr15:77300348	active;shared
chr15:77340381	active;shared
chr15:78826853	active;shared
chr15:79029996	active;shared
chr15:79045046	active;shared
chr15:79825354	active;shared
chr15:80822541	active;shared
chr1:58148732	active;shared
chr15:82015311	active;shared
chr15:82961351	active;shared
chr15:85201178	active;shared
chr15:85992308	active;shared
chr15:86330648	active;shared
chr15:86358585	active;shared
chr15:86607248	active;shared
chr15:88561343	active;shared
chr15:88978661	active;shared
chr15:90863981	active;shared
chr1:59162802	active;shared
chr15:92420009	active;shared
chr15:92500400	active;shared
chr1:59270622	active;shared
chr1:59272265	active;shared
chr1:59315311	active;shared
chr1:59316505	active;shared
chr1:59341289	active;shared
chr15:94003610	active;shared
chr15:95186555	active;shared
chr15:96169801	active;shared
chr15:96726896	active;shared
chr15:97665605	active;shared
chr15:98691635	active;shared
chr15:98983615	active;shared
chr15:98984675	active;shared
chr15:99186085	active;shared
chr15:99466118	active;shared
chr15:99607854	active;shared
chr15:99669585	active;shared
chr15:99678782	active;shared
chr16:11255068	active;shared
chr16:11457848	active;shared
chr1:61265957	active;shared
chr16:12960977	active;shared
chr1:61402343	active;shared
chr1:61407419	active;shared
chr16:16144844	active;shared
chr16:17069539	active;shared
chr16:18119202	active;shared
chr16:21576163	active;shared
chr16:21693719	active;shared
chr16:21905700	active;shared
chr16:22641773	active;shared
chr16:23259032	active;shared
chr16:24422247	active;shared
chr16:24476357	active;shared
chr1:62564758	active;shared
chr1:62668316	active;shared
chr1:62748493	active;shared
chr1:62786026	active;shared
chr16:28851453	active;shared
chr16:28851583	active;shared
chr16:29877701	active;shared
chr16:30244225	active;shared
chr16:30596292	active;shared
chr16:30873960	active;shared
chr16:31273341	active;shared
chr16:31338138	active;shared
chr16:31547186	active;shared
chr1:63252628	active;shared
chr16:33234236	active;shared
chr16:34535389	active;shared
chr16:34562025	active;shared
chr16:35539042	active;shared
chr16:35570698	active;shared
chr1:63667429	active;shared
chr16:37686191	active;shared
chr16:37803184	active;shared
chr16:41641090	active;shared
chr16:42255917	active;shared
chr16:42575588	active;shared
chr16:44283159	active;shared
chr16:44630491	active;shared
chr16:45724997	active;shared
chr1:64804288	active;shared
chr16:50026873	active;shared
chr16:5483484	active;shared
chr16:55852951	active;shared
chr16:57134151	active;shared
chr16:5733724	active;shared
chr16:57859035	active;shared
chr16:59472613	active;shared
chr1:66266673	active;shared
chr16:62832789	active;shared
chr16:63745707	active;shared
chr16:6882949	active;shared
chr16:72694038	active;shared
chr16:72699604	active;shared
chr16:72788291	active;shared
chr16:72924451	active;shared
chr16:72924952	active;shared
chr16:72995452	active;shared
chr16:7408239	active;shared
chr16:74093389	active;shared
chr16:75249411	active;shared
chr16:76358658	active;shared
chr16:78845446	active;shared
chr16:78845640	active;shared
chr1:67893812	active;shared
chr16:82602231	active;shared
chr16:85308290	active;shared
chr16:85549404	active;shared
chr16:8574013	active;shared
chr16:88938114	active;shared
chr16:90247720	active;shared
chr16:90427329	active;shared
chr16:9075067	active;shared
chr1:69105127	active;shared
chr16:91428506	active;shared
chr16:92412734	active;shared
chr16:94972587	active;shared
chr16:95695974	active;shared
chr16:96278946	active;shared
chr16:96530141	active;shared
chr16:96761460	active;shared
chr16:97263877	active;shared
chr17:10776573	active;shared
chr17:10776741	active;shared
chr17:11127435	active;shared
chr17:11231218	active;shared
chr17:11913198	active;shared
chr17:13690547	active;shared
chr17:15088806	active;shared
chr17:15117137	active;shared
chr17:15378975	active;shared
chr17:15827335	active;shared
chr17:15993777	active;shared
chr17:17402746	active;shared
chr17:17425274	active;shared
chr1:72197228	active;shared
chr1:72309212	active;shared
chr17:23550055	active;shared
chr17:23628002	active;shared
chr17:23628279	active;shared
chr1:72406828	active;shared
chr1:72574252	active;shared
chr17:25766101	active;shared
chr1:72577661	active;shared
chr17:25873399	active;shared
chr17:27146775	active;shared
chr17:27175630	active;shared
chr17:27179832	active;shared
chr17:27494365	active;shared
chr17:29438659	active;shared
chr17:29920158	active;shared
chr17:29977001	active;shared
chr17:30058606	active;shared
chr17:30204649	active;shared
chr17:30279789	active;shared
chr17:30377968	active;shared
chr17:30378436	active;shared
chr17:30638553	active;shared
chr17:31698617	active;shared
chr17:31741445	active;shared
chr17:34900239	active;shared
chr17:36315546	active;shared
chr17:37145480	active;shared
chr1:73744676	active;shared
chr1:74098817	active;shared
chr17:4175100	active;shared
chr17:42917042	active;shared
chr17:45734583	active;shared
chr17:47429083	active;shared
chr17:48006823	active;shared
chr17:48065257	active;shared
chr17:48432313	active;shared
chr17:48533803	active;shared
chr17:49767961	active;shared
chr17:49816268	active;shared
chr17:5020655	active;shared
chr17:52712793	active;shared
chr17:53210241	active;shared
chr17:53551735	active;shared
chr17:56509832	active;shared
chr17:56516077	active;shared
chr17:56818547	active;shared
chr17:58919135	active;shared
chr17:60018863	active;shared
chr17:62695057	active;shared
chr17:63144090	active;shared
chr17:63285638	active;shared
chr17:63575658	active;shared
chr17:63995411	active;shared
chr17:65642680	active;shared
chr17:66417075	active;shared
chr17:67291158	active;shared
chr17:67694290	active;shared
chr17:67699546	active;shared
chr17:69157896	active;shared
chr17:70993483	active;shared
chr17:71141284	active;shared
chr17:71480825	active;shared
chr17:75118977	active;shared
chr17:76111937	active;shared
chr17:78238234	active;shared
chr17:78644334	active;shared
chr17:79353832	active;shared
chr1:77972443	active;shared
chr17:79960882	active;shared
chr17:80450164	active;shared
chr1:78141893	active;shared
chr1:78167808	active;shared
chr1:78203802	active;shared
chr17:8233150	active;shared
chr17:83125980	active;shared
chr17:83214339	active;shared
chr17:83246250	active;shared
chr17:83312726	active;shared
chr17:83633218	active;shared
chr17:84567629	active;shared
chr17:85341608	active;shared
chr17:85464615	active;shared
chr17:85488949	active;shared
chr17:85874365	active;shared
chr1:78594118	active;shared
chr17:86379620	active;shared
chr17:86948264	active;shared
chr17:87817031	active;shared
chr17:88158317	active;shared
chr17:90696397	active;shared
chr17:9169422	active;shared
chr17:9210858	active;shared
chr17:93313484	active;shared
chr17:9854565	active;shared
chr17:9907666	active;shared
chr18:10839075	active;shared
chr18:10948987	active;shared
chr18:12126327	active;shared
chr18:13708264	active;shared
chr18:15879890	active;shared
chr18:20698839	active;shared
chr18:20709984	active;shared
chr18:20773060	active;shared
chr18:20970066	active;shared
chr18:21092403	active;shared
chr18:21729689	active;shared
chr18:21940526	active;shared
chr18:22764798	active;shared
chr18:23042018	active;shared
chr18:24818892	active;shared
chr18:25428736	active;shared
chr18:25588845	active;shared
chr18:25600311	active;shared
chr18:25600622	active;shared
chr18:25677632	active;shared
chr1:82906128	active;shared
chr18:30639105	active;shared
chr18:34679809	active;shared
chr18:34692312	active;shared
chr18:34779544	active;shared
chr18:3499197	active;shared
chr18:3506941	active;shared
chr18:35083616	active;shared
chr18:35402252	active;shared
chr18:35685542	active;shared
chr18:36014287	active;shared
chr18:36077721	active;shared
chr18:37178644	active;shared
chr18:37217633	active;shared
chr18:38206112	active;shared
chr18:38279664	active;shared
chr18:38678790	active;shared
chr18:38765602	active;shared
chr18:38923297	active;shared
chr18:39096583	active;shared
chr1:84035417	active;shared
chr1:84128772	active;shared
chr18:42753486	active;shared
chr18:43102577	active;shared
chr18:43277635	active;shared
chr18:44585300	active;shared
chr18:44642240	active;shared
chr18:45557819	active;shared
chr18:47249686	active;shared
chr18:5163384	active;shared
chr18:53480077	active;shared
chr18:53744071	active;shared
chr18:54991060	active;shared
chr18:55190457	active;shared
chr18:55198153	active;shared
chr18:55419663	active;shared
chr18:56016491	active;shared
chr1:85716669	active;shared
chr18:60606378	active;shared
chr18:60720056	active;shared
chr18:60735614	active;shared
chr18:61336153	active;shared
chr18:61781044	active;shared
